第一申请人,主体类型,省级地区,第一申请人城市标准化,year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,main_quantum_category,type_review_count
中国科学院力学研究所,科研院所,北京,北京,2024,1,4,4.0,量子基础概念,量子基础概念,0
中国科学院化学研究所,科研院所,北京,北京,2021,1,5,5.0,量子传感,量子传感,0
中国科学院半导体研究所,科研院所,北京,北京,2021,4,18,4.5,量子基础概念；量子通信与安全,量子基础概念,0
中国科学院半导体研究所,科研院所,北京,北京,2022,2,19,9.5,量子计算硬件；量子通信与安全,量子计算硬件,0
中国科学院半导体研究所,科研院所,北京,北京,2024,1,2,2.0,量子基础概念,量子基础概念,0
中国科学院半导体研究所,科研院所,北京,北京,2025,2,13,6.5,量子通信与安全；量子计算硬件,量子通信与安全,0
中国科学院国家天文台,科研院所,北京,北京,2021,2,6,3.0,量子传感,量子传感,0
中国科学院国家天文台,科研院所,北京,北京,2023,1,3,3.0,量子传感,量子传感,0
中国科学院国家天文台,科研院所,北京,北京,2024,2,6,3.0,量子传感,量子传感,0
中国科学院地理科学与资源研究所,科研院所,北京,北京,2025,1,5,5.0,量子计算,量子计算,0
中国科学院地质与地球物理研究所,科研院所,北京,北京,2021,3,13,4.333333333333333,量子传感；量子计算硬件,量子传感,0
中国科学院地质与地球物理研究所,科研院所,北京,北京,2022,1,3,3.0,量子传感,量子传感,0
中国科学院声学研究所,科研院所,北京,北京,2023,1,3,3.0,量子传感,量子传感,0
中国科学院大学,科研院所,北京,北京,2022,1,5,5.0,量子传感,量子传感,0
中国科学院大学,科研院所,北京,北京,2023,1,13,13.0,量子传感,量子传感,0
中国科学院微电子研究所,科研院所,北京,北京,2022,3,15,5.0,量子计算硬件,量子计算硬件,0
中国科学院微电子研究所,科研院所,北京,北京,2023,1,3,3.0,量子计算,量子计算,0
